N,threads,run,time_seconds
200,1,1,0.0032081
200,1,2,0.0031388
200,1,3,0.0031845
200,2,1,0.0018921
200,2,2,0.0019699
200,2,3,0.0022832
200,4,1,0.0014874
200,4,2,0.0017055
200,4,3,0.0018851
200,8,1,0.001387
200,8,2,0.0011037
200,8,3,0.0011894
400,1,1,0.0263976
400,1,2,0.026326
400,1,3,0.0262135
400,2,1,0.0134286
400,2,2,0.015497
400,2,3,0.0137858
400,4,1,0.0071697
400,4,2,0.0072368
400,4,3,0.0072969
400,8,1,0.0079981
400,8,2,0.0075277
400,8,3,0.0058956
800,1,1,0.224367
800,1,2,0.202233
800,1,3,0.202728
800,2,1,0.10853
800,2,2,0.109467
800,2,3,0.108334
800,4,1,0.0568901
800,4,2,0.0697729
800,4,3,0.0560893
800,8,1,0.0468687
800,8,2,0.0308969
800,8,3,0.0553588
1200,1,1,0.748616
1200,1,2,0.789067
1200,1,3,0.752201
1200,2,1,0.405074
1200,2,2,0.409241
1200,2,3,0.464792
1200,4,1,0.218685
1200,4,2,0.22327
1200,4,3,0.214871
1200,8,1,0.12214
1200,8,2,0.112023
1200,8,3,0.122189
1600,1,1,2.25911
1600,1,2,2.25224
1600,1,3,2.25661
1600,2,1,1.2633
1600,2,2,1.25959
1600,2,3,1.25745
1600,4,1,0.670118
1600,4,2,0.703805
1600,4,3,0.675659
1600,8,1,0.372854
1600,8,2,0.36199
1600,8,3,0.364341
2000,1,1,4.39813
2000,1,2,4.40563
2000,1,3,4.38234
2000,2,1,2.49381
2000,2,2,2.46672
2000,2,3,2.46647
2000,4,1,1.30894
2000,4,2,1.30764
2000,4,3,1.29832
2000,8,1,0.917388
2000,8,2,0.760589
2000,8,3,0.768774
