N,block_size,kernel_type,run,time_seconds
200,16,0,1,0.000839936
200,16,0,2,0.00086688
200,16,0,3,0.000752736
200,16,1,1,0.000834912
200,16,1,2,0.000767616
200,16,1,3,0.00090304
200,32,0,1,0.000702496
200,32,0,2,0.000759264
200,32,0,3,0.000769248
200,32,1,1,0.000729248
200,32,1,2,0.000871296
200,32,1,3,0.000781984
400,16,0,1,0.00103494
400,16,0,2,0.000863552
400,16,0,3,0.0009584
400,16,1,1,0.000849792
400,16,1,2,0.00105725
400,16,1,3,0.000880608
400,32,0,1,0.000879744
400,32,0,2,0.000908992
400,32,0,3,0.000869024
400,32,1,1,0.000876608
400,32,1,2,0.000881024
400,32,1,3,0.000816544
800,16,0,1,0.0021344
800,16,0,2,0.00212867
800,16,0,3,0.00216598
800,16,1,1,0.00213891
800,16,1,2,0.0021175
800,16,1,3,0.00227168
800,32,0,1,0.00219046
800,32,0,2,0.00206774
800,32,0,3,0.00206758
800,32,1,1,0.00210589
800,32,1,2,0.00217222
800,32,1,3,0.00213843
1200,16,0,1,0.00575779
1200,16,0,2,0.00570048
1200,16,0,3,0.00572605
1200,16,1,1,0.00588483
1200,16,1,2,0.00571082
1200,16,1,3,0.00571597
1200,32,0,1,0.00598762
1200,32,0,2,0.00603398
1200,32,0,3,0.00594762
1200,32,1,1,0.0059751
1200,32,1,2,0.0059511
1200,32,1,3,0.00602995
1600,16,0,1,0.0128244
1600,16,0,2,0.0128806
1600,16,0,3,0.0128746
1600,16,1,1,0.0129023
1600,16,1,2,0.0128274
1600,16,1,3,0.0128315
1600,32,0,1,0.0130525
1600,32,0,2,0.0131734
1600,32,0,3,0.0130616
1600,32,1,1,0.0130884
1600,32,1,2,0.0130559
1600,32,1,3,0.0131373
2000,16,0,1,0.0251344
2000,16,0,2,0.0241977
2000,16,0,3,0.024321
2000,16,1,1,0.0241967
2000,16,1,2,0.024193
2000,16,1,3,0.024184
2000,32,0,1,0.0250434
2000,32,0,2,0.0250808
2000,32,0,3,0.0250707
2000,32,1,1,0.0250541
2000,32,1,2,0.0250734
2000,32,1,3,0.0250723
