N,processes,run,time_seconds
200,1,1,seconds
200,1,2,seconds
200,1,3,seconds
200,2,1,seconds
200,2,2,seconds
200,2,3,seconds
200,4,1,seconds
200,4,2,seconds
200,4,3,seconds
200,8,1,seconds
200,8,2,seconds
200,8,3,seconds
400,1,1,seconds
400,1,2,seconds
400,1,3,seconds
400,2,1,seconds
400,2,2,seconds
400,2,3,seconds
400,4,1,seconds
400,4,2,seconds
400,4,3,seconds
400,8,1,seconds
400,8,2,seconds
400,8,3,seconds
800,1,1,seconds
800,1,2,seconds
800,1,3,seconds
800,2,1,seconds
800,2,2,seconds
800,2,3,seconds
800,4,1,seconds
800,4,2,seconds
800,4,3,seconds
800,8,1,seconds
800,8,2,seconds
800,8,3,seconds
1200,1,1,seconds
1200,1,2,seconds
1200,1,3,seconds
1200,2,1,seconds
1200,2,2,seconds
1200,2,3,seconds
1200,4,1,seconds
1200,4,2,seconds
1200,4,3,seconds
1200,8,1,seconds
1200,8,2,seconds
1200,8,3,seconds
1600,1,1,seconds
1600,1,2,seconds
1600,1,3,seconds
1600,2,1,seconds
1600,2,2,seconds
1600,2,3,seconds
1600,4,1,seconds
1600,4,2,seconds
1600,4,3,seconds
1600,8,1,seconds
1600,8,2,seconds
1600,8,3,seconds
2000,1,1,seconds
2000,1,2,seconds
2000,1,3,seconds
2000,2,1,seconds
2000,2,2,seconds
2000,2,3,seconds
2000,4,1,seconds
2000,4,2,seconds
2000,4,3,seconds
2000,8,1,seconds
2000,8,2,seconds
2000,8,3,seconds
